	ID	dropoff	lineup_cost	lineup_id	lineup_position	lineup_score	lower	player	points	position	positionECR	positionRank	projected_ownership	ptSpread	risk	salary	score	team	tier	upper
70	13424990	0.16110434773868398	49100.0	1247720605	WR3	33.933820346320346	0.5158730158730159	Marquise Brown	0.5476190476190477	WR	0.5967741935483871	17	0.37254901960784315	0.8809523809523809	3.2906588241005403	5800.0	3.4533459595959597	BAL	0.3373015873015873	0.6349206349206349
27	13424754	0.11000605127413	49100.0	1247720605	FLEX	33.933820346320346	0.7936507936507936	Todd Gurley	0.8095238095238095	RB	0.41935483870967744	8	0.13725490196078433	0.5	3.8740152904059704	7000.0	4.4472943722943725	LAR	0.5238095238095238	0.7698412698412699
43	13424980	0.12414738638751101	49100.0	1247720605	WR1	33.933820346320346	0.6111111111111112	Brandin Cooks	0.7301587301587301	WR	0.3951612903225806	6	0.27450980392156865	0.9841269841269841	2.62098848864083	6200.0	4.210560966810967	LAR	0.1626984126984127	0.8333333333333334
96	13425252	1.1718863684636598	49100.0	1247720605	TE	33.933820346320346	0.1984126984126984	Mark Andrews	0.38095238095238093	TE	0.125	5	0.6372549019607843	0.9523809523809523	7.828286485175459	5000.0	2.82637987012987	BAL	0.1626984126984127	0.5
35	13424756	0.526742817426348	49100.0	1247720605	RB1	33.933820346320346	0.8015873015873016	David Johnson	0.7619047619047619	RB	0.25	13	0.1568627450980392	0.3492063492063492	2.8388237959939997	6800.0	4.333315295815296	ARI	0.7142857142857143	0.7063492063492064
106	13425038	0.143638865915326	49100.0	1247720605	WR2	33.933820346320346	0.31746031746031744	Will Fuller	0.35714285714285715	WR	0.8225806451612904	29	0.7254901960784313	0.873015873015873	3.5138822692537794	4500.0	2.5896103896103897	HOU	0.5238095238095238	0.4523809523809524
69	13425432	0.369693428571427	49100.0	1247720605	DST	33.933820346320346	0.6428571428571429	Ravens	0.5555555555555556	DST	0.9516129032258065	6	0.9509803921568627	0.18253968253968253	4.21546586746707	3200.0	3.405257936507936	BAL	0.3373015873015873	0.48412698412698413
11	13424702	0.6441520440937939	49100.0	1247720605	QB	33.933820346320346	0.8968253968253969	Daniel Jones	0.9126984126984127	QB	0.3225806451612903	10	0.5196078431372549	0.48412698412698413	6.776441631528	5300.0	4.987463924963925	NYG	0.5238095238095238	0.9206349206349206
61	13424778	1.51682546505599	49100.0	1247720605	RB2	33.933820346320346	0.6587301587301587	David Montgomery	0.6031746031746031	RB	0.6088709677419355	18	0.5294117647058824	0.31746031746031744	3.3166044857226002	5300.0	3.68059163059163	CHI	0.8412698412698413	0.6031746031746031
89	13425018	0.19041238538969602	49900.0	2995275581	WR1	33.93145743145743	0.30158730158730157	Christian Kirk	0.42857142857142855	WR	0.6370967741935484	25	0.5980392156862745	0.9047619047619048	3.45807640796547	5100.0	2.8244227994227993	ARI	0.5238095238095238	0.5079365079365079
20	13424764	0.406817367496641	49900.0	2995275581	RB1	33.93145743145743	0.8333333333333334	Marlon Mack	0.8412698412698413	RB	0.20161290322580644	5	0.28431372549019607	0.6190476190476191	2.75919368103923	6100.0	4.709550865800866	IND	0.3373015873015873	0.8412698412698413
70	13424990	0.16110434773868398	49900.0	2995275581	FLEX	33.93145743145743	0.5158730158730159	Marquise Brown	0.5476190476190477	WR	0.5967741935483871	17	0.37254901960784315	0.8809523809523809	3.2906588241005403	5800.0	3.4533459595959597	BAL	0.3373015873015873	0.6349206349206349
59	13425426	0.595346469418631	49900.0	2995275581	DST	33.93145743145743	0.7301587301587301	Patriots	0.6190476190476191	DST	0.9032258064516129	3	0.8333333333333334	0.16666666666666666	4.03170247100571	3700.0	3.7554563492063493	NE	0.1626984126984127	0.5714285714285714
3	13424689	0.6441228842228921	49900.0	2995275581	QB	33.93145743145743	0.9920634920634921	Deshaun Watson	0.9761904761904762	QB	0.08870967741935484	4	0.22549019607843138	0.1746031746031746	3.59754608037263	6400.0	5.43779761904762	HOU	0.1626984126984127	0.9682539682539683
33	13424762	0.39874140468249497	49900.0	2995275581	RB2	33.93145743145743	0.8412698412698413	Derrick Henry	0.7698412698412699	RB	0.18548387096774194	12	0.23529411764705882	0.07936507936507936	3.9536454053607297	6300.0	4.41002886002886	TEN	0.7142857142857143	0.6746031746031746
28	13424958	0.681968138190289	49900.0	2995275581	WR2	33.93145743145743	0.7698412698412699	DeAndre Hopkins	0.8015873015873016	WR	0.08064516129032258	3	0.0784313725490196	0.7380952380952381	2.2861533209109703	7700.0	4.565070346320347	HOU	0.1626984126984127	0.8095238095238095
118	13425036	0.301965947157733	49900.0	2995275581	WR3	33.93145743145743	0.3492063492063492	Courtland Sutton	0.30952380952380953	WR	0.8467741935483871	34	0.7156862745098039	0.6984126984126984	2.73260021121745	4600.0	2.388347763347763	DEN	0.5238095238095238	0.3412698412698413
